geo_aggregation_level,industry_code,industry_complexity,industry_ubiquity,industry_centrality,industry_description
1,111000,-2.311795333349641,1640,0.00127158483395472,Crop Production
1,112000,-2.4197384576086947,1700,0.0012470082130604518,Animal Production
1,113110,-1.3356051724655078,668,0.0012202660517530804,Timber Tract Operations
1,113210,-1.0707651628182981,462,0.001143814757535598,Forest Nurseries and Gathering of Forest Products
1,113310,-1.9599970749597169,1367,0.0013034064414683775,Logging
1,114111,-1.0479731918869666,506,0.001116527137125704,Finfish Fishing
1,114112,-1.2302694152701723,421,0.0009626797344805203,Shellfish Fishing
1,114119,0.09793267240643222,186,0.0008179083168127547,Other Marine Fishing
1,114210,-1.7481076787440595,972,0.0012916243707242158,Hunting and Trapping
1,115111,-2.1476308945756784,342,0.0007138337297147749,Cotton Ginning
1,115112,-2.4896080656446546,1443,0.0012409123610721687,"Soil Preparation, Planting, and Cultivating"
1,115113,-2.5191878559224636,501,0.00089486605974025,"Crop Harvesting, Primarily by Machine"
1,115114,-2.10268605279371,468,0.000914978889660243,Postharvest Crop Activities (except Cotton Ginning)
1,115115,-2.6904394620525425,1800,0.001181382536503135,Farm Labor Contractors and Crew Leaders
1,115116,-2.2531597402077144,560,0.0009721218943829777,Farm Management Services
1,115210,-2.138451578096273,1607,0.001329455674332832,Support Activities for Animal Production
1,115310,-1.752596143425436,900,0.001233450923908457,Support Activities for Forestry
1,211120,-2.4686384122663436,377,0.0007651577755426667,Crude Petroleum Extraction
1,211130,-1.9441301075900659,326,0.0007880868262344809,Natural Gas Extraction
1,212114,-1.5993154538246115,130,0.00039580614063966616,Surface Coal Mining
1,212115,-1.3308155419279046,88,0.0002837256550740826,Underground Coal Mining
1,212210,-0.04967008044862596,18,9.329616013326415e-05,Iron Ore Mining
1,212220,-1.4254317478290435,56,0.00017947660519333655,Gold Ore and Silver Ore Mining
1,212230,-0.7613557592138731,40,0.0001710388420353282,"Copper, Nickel, Lead, and Zinc Mining"
1,212290,-0.9122436784410501,58,0.0002338044195651249,Other Metal Ore Mining
1,212311,-1.293265605233542,283,0.0008025643806940082,Dimension Stone Mining and Quarrying
1,212312,-1.1998418982870012,587,0.0011812664178912434,Crushed and Broken Limestone Mining and Quarrying
1,212313,0.19454583187823676,182,0.0007579369008849712,Crushed and Broken Granite Mining and Quarrying
1,212319,-0.7399597880360818,298,0.0009725837232417062,Other Crushed and Broken Stone Mining and Quarrying
1,212321,-1.3092129250278777,863,0.0013988675610198146,Construction Sand and Gravel Mining
1,212322,-1.0288740867507924,136,0.0005315904337467521,Industrial Sand Mining
1,212323,-1.1705700817918585,98,0.0003858916702297768,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining"
1,212390,-1.2230957817825756,212,0.0006744779856170752,Other Nonmetallic Mineral Mining and Quarrying
1,213111,-2.1939277371121237,431,0.0008768169728524443,Drilling Oil and Gas Wells
1,213112,-2.550638122297188,541,0.0009018217282929709,Support Activities for Oil and Gas Operations
1,213113,-1.334693413417328,150,0.0004920603166510889,Support Activities for Coal Mining
1,213114,-0.737796755038633,109,0.00044219528549241144,Support Activities for Metal Mining
1,213115,-0.531828405464968,185,0.0007429800434458449,Support Activities for Nonmetallic Minerals (except Fuels) Mining
1,221111,-0.8560898982774171,270,0.0008501263795162456,Hydroelectric Power Generation
1,221112,-0.785227548784947,463,0.001173864123626518,Fossil Fuel Electric Power Generation
1,221113,0.47241473990605704,63,0.00036215845994383916,Nuclear Electric Power Generation
1,221114,0.487934884596089,173,0.0008357409502806938,Solar Electric Power Generation
1,221115,-1.742963430253885,229,0.0006663230881997381,Wind Electric Power Generation
1,221116,-0.07988492285528609,28,0.00016490157585393418,Geothermal Electric Power Generation
1,221117,0.30134978117010613,100,0.0005309954997218466,Biomass Electric Power Generation
1,221118,0.8839835051003513,123,0.000712341020721309,Other Electric Power Generation
1,221121,-0.4993824294919496,249,0.0008934315229267385,Electric Bulk Power Transmission and Control
1,221122,-1.7287354651211857,1486,0.0013887374414108427,Electric Power Distribution
1,221210,-1.1593408179094384,678,0.0013018510262136416,Natural Gas Distribution
1,221310,-1.488316601158263,1057,0.00138358254927432,Water Supply and Irrigation Systems
1,221320,-0.44745267375482917,385,0.0011636729453055128,Sewage Treatment Facilities
